"","datetime","bank_code","merchant_type","transaction_type","keterangan","amount","status","customer_id","reference_id","dbname"
"1",2024-05-01 04:25:23.375674,"037","IBB","102","Online Transfer",4100000,"00","SUR580","250167401783","ibb golang"
"2",2024-05-01 04:25:38.120875,"037","IBB","102","Online Transfer",25000000,"00","SUR580","309326101187","ibb golang"
"3",2024-05-01 08:08:30.845834,"037","IBB","108","BI-Fast",10000000,"00","ALI724","03000003","ibb golang"
"4",2024-05-01 09:05:17.713484,"037","IBB","108","BI-Fast",200000000,"00","DIS014","03000010","ibb golang"
"5",2024-05-01 09:05:21.56352,"037","IBB","108","BI-Fast",250000000,"00","DIS014","03000012","ibb golang"
"6",2024-05-01 09:05:26.28993,"037","IBB","108","BI-Fast",250000000,"00","DIS014","03000014","ibb golang"
"7",2024-05-01 09:05:30.532309,"037","IBB","108","BI-Fast",250000000,"00","DIS014","03000016","ibb golang"
"8",2024-05-01 10:11:14.120543,"037","IBB","101","Overbooking",250000000,"00","TRA044","523991907076","ibb golang"
"9",2024-05-01 10:11:15.863394,"037","IBB","101","Overbooking",250000000,"00","TRA044","271272259778","ibb golang"
"10",2024-05-01 10:11:16.962298,"037","IBB","101","Overbooking",250000000,"00","TRA044","089960699231","ibb golang"
"11",2024-05-01 10:11:18.467933,"037","IBB","101","Overbooking",250000000,"00","TRA044","727557382693","ibb golang"
"12",2024-05-01 11:12:12.237234,"037","IBB","101","Overbooking",1500000000,"00","TRA044","349291390804","ibb golang"
"13",2024-05-01 11:12:16.496267,"037","IBB","101","Overbooking",1500000000,"00","TRA044","625517702820","ibb golang"
"14",2024-05-01 11:12:19.197222,"037","IBB","101","Overbooking",1000000000,"00","TRA044","280416671083","ibb golang"
"15",2024-05-01 11:12:21.796413,"037","IBB","101","Overbooking",1000000000,"00","TRA044","792070913800","ibb golang"
"16",2024-05-01 11:13:34.938089,"037","IBB","108","BI-Fast",250000000,"00","TRA044","764322940326","ibb golang"
"17",2024-05-01 11:13:34.962042,"037","IBB","108","BI-Fast",250000000,"00","TRA044","069502214691","ibb golang"
"18",2024-05-01 11:13:36.137396,"037","IBB","108","BI-Fast",250000000,"00","TRA044","03000042","ibb golang"
"19",2024-05-01 11:14:00.861359,"037","IBB","108","BI-Fast",250000000,"00","TRA044","03000044","ibb golang"
"20",2024-05-01 11:15:28.93211,"037","IBB","108","BI-Fast",250000000,"00","TRA044","03000048","ibb golang"
"21",2024-05-01 11:38:35.653568,"037","IBB","102","Online Transfer",250000000,"00","TRA044","359294624654","ibb golang"
"22",2024-05-01 11:38:36.70758,"037","IBB","102","Online Transfer",250000000,"00","TRA044","932632752092","ibb golang"
"23",2024-05-01 11:38:38.256168,"037","IBB","102","Online Transfer",250000000,"00","TRA044","426915685462","ibb golang"
"24",2024-05-01 11:40:34.986678,"037","IBB","102","Online Transfer",250000000,"00","TRA044","440779512670","ibb golang"
"25",2024-05-01 11:40:38.273365,"037","IBB","102","Online Transfer",250000000,"00","TRA044","099320835230","ibb golang"
"26",2024-05-01 11:40:45.335199,"037","IBB","102","Online Transfer",250000000,"00","TRA044","065863001442","ibb golang"
"27",2024-05-01 11:40:55.623855,"037","IBB","102","Online Transfer",250000000,"00","TRA044","727715205493","ibb golang"
"28",2024-05-01 11:40:57.052802,"037","IBB","102","Online Transfer",250000000,"00","TRA044","237263435440","ibb golang"
"29",2024-05-01 11:41:10.545357,"037","IBB","102","Online Transfer",250000000,"00","TRA044","750338384059","ibb golang"
"30",2024-05-01 11:41:13.770548,"037","IBB","102","Online Transfer",250000000,"00","TRA044","206408442581","ibb golang"
"31",2024-05-01 11:41:15.788957,"037","IBB","102","Online Transfer",250000000,"00","TRA044","051569315215","ibb golang"
"32",2024-05-01 11:41:19.035352,"037","IBB","102","Online Transfer",250000000,"00","TRA044","407591509374","ibb golang"
"33",2024-05-01 11:41:22.823501,"037","IBB","102","Online Transfer",250000000,"00","TRA044","335149286967","ibb golang"
"34",2024-05-01 11:44:53.176889,"037","IBB","102","Online Transfer",250000000,"00","TRA044","651415118337","ibb golang"
"35",2024-05-01 11:44:58.706327,"037","IBB","102","Online Transfer",250000000,"00","TRA044","993897303722","ibb golang"
